id,title,manufacturer,price
amazon:0,learning quickbooks 2007,intuit,38.99
amazon:1,superstart ! fun with reading & writing !,,8.49
amazon:2,qb pos 6.0 basic software,intuit,637.99
amazon:3,math missions : the amazing arcade adventure ( grades 3-5 ),,12.95
amazon:4,production prem cs3 mac upgrad,adobe software,805.99
amazon:5,video studio 11 plus,corel corporation,103.99
amazon:6,edius pro 4,canopus/grass valley,585.99
amazon:7,qb pos 6.0 pro multi store sw,intuit,1054.99
amazon:8,qb credit card kit 3.0,intuit,25.99
amazon:9,vegas movie studiodvd +8 plat,sony creative software,92.99
amazon:10,qb pos 6.0 pro solution hw/sw,intuit,1474.99
amazon:11,ares rising,,29.95
amazon:12,evergirl : pc cd-rom video game,,14.99
amazon:13,cd384-aisk9 = cisco ios advanced ip services complete package cd,,2068.26
amazon:14,633808063023 wasp bar code fontware complete package 10 users cd win english,,154.6
amazon:15,0202-034 axis camera station license 1 additional user,,95.12
amazon:16,eu063av aba microsoft windows xp professional license and media 1 user cto english -,,137.09
amazon:17,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux,,195.53
amazon:18,eqzfn07-201 zetafax business edition license 5 users win,,499.17
amazon:19,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp,,2021.99
amazon:20,wg017449 watchguard firebox x5500e utm software suite subscription license 1 year +,,3715.48
amazon:21,11k2990 international printing for mysap.com complete package 1 client cd englis,,149.43
amazon:22,5325302018 snap enterprise data replicator license 1 server linux unix win,,663.22
amazon:23,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win,,18.88
amazon:24,11105106 symantec bindview policy manager v. 1.0 media cd win english,,16.09
amazon:25,25510587 adobe after effects cs3 professional complete package 1 user dvd win c,,1054.23
amazon:26,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi,,751.44
amazon:27,did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul,,1562.06
amazon:28,633808035020 wasp nest ccd suite business edition complete package 1 user cd win,,179.03
amazon:29,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1,,29.93
amazon:30,01-ssc-6993 sonicwall client/server anti-virus suite subscription license 3 years 50,,3992.98
amazon:31,buvsag-00000 ulead videostudio 10 complete package 1 user win english,,61.94
amazon:32,s71-00009 perfect dark zero complete package 1 user microsoft xbox 360 dvd engli,,34.38
amazon:33,c6q-00002 microsoft digital image suite plus complete package 1 pc cd-rom ( mini box ),,93.33
